content  playCount name
                                     支持一集40分钟的，点赞   58254054  降灵记
              你妹，女主太帅了，帅瞎我的眼睛。同意的点个赞(*˘︶˘*).。.:*♡   58254054  降灵记
垃圾动画，看的气死了。这个母亲该死不论他怎么爱她儿子都该死。红头发的王八蛋全家都他妈该死。还...   58254054  降灵记
                                  我靠，这个沐春阳还能再贱点儿么   58254054  降灵记
         爷过来爷过去的，瞬间觉得这动漫太垃圾了，什么狗屁剧情，垃圾！垃圾！垃圾！！！！！   58254054  降灵记
                                         哈哈哈！！！！！   58254054  降灵记
                            这一幕要是让慕容蓝看到的话，会有什么反应？   58254054  降灵记
                                              发糖喽   58254054  降灵记
                                              帅不帅   58254054  降灵记
                           我三年级，如果画的不好，请指教。😊😊😊   58254054  降灵记
                                   尽情 喷       求喷子   58254054  降灵记
                                             分享图片   58254054  降灵记
                            走过路过不要错过，赞一下不吃亏赞一下不上当   58254054  降灵记
                                画玖死了！怎么会这样！😭😭😭   58254054  降灵记
                                             分享图片   58254054  降灵记
                                             分享图片   58254054  降灵记
             认为如意喜欢吉祥的请点赞[可怜][可怜][可怜][可怜][可怜][可怜]   58254054  降灵记
                                               点点   58254054  降灵记
                                        我感觉兄妹俩是蛇精   58254054  降灵记
沐春阳帅，还是慕容蓝帅呢？我喜欢慕容蓝，，，，喜欢慕容蓝的一定要点赞哦！👍👍👍[可怜]...   58254054  降灵记
慕容蓝与沐春阳你更喜欢哪一个？喜欢慕容蓝的在右下角点1下，喜欢沐春阳的发评论噢！[色][色]...   58254054  降灵记
                        师兄真的很心疼师妹，那个反派太坏了呜呜呜呜，不要啊   58254054  降灵记
                                     好讨厌沐春啊，同意的点赞   58254054  降灵记
我不送号，不送Q币，不黑剑魔，不骂TFboys，不喷EDG，我也不是妹子，点两次赞不会取消，...   58254054  降灵记
                                 有多少人喜欢七爷的，让你我统计下   58254054  降灵记
                                   两人注定要在一起的。💏💏   58254054  降灵记
那个沐春阳他爸本来就作恶多端，该死，画玖杀的对，结果你居然趁人家不防备你之时杀人，还占人家身...   58254054  降灵记
                                            这装好丑！   58254054  降灵记
                                        画玖这身衣服好看吗   58254054  降灵记
   这主角活该，谁叫她斩草不除根，哈哈哈即使是错误的也要执行到底[阴险][阴险][阴险][阴险]   58254054  降灵记
           人之初，性本善。作者不更是坏蛋。你不更，我不看。看你怎么办。大家一起来点赞。   58254054  降灵记
                                     我的天超度不是灵魂罢度s   58254054  降灵记
                                              哈哈哈   58254054  降灵记
             为什么中国的电视剧   电影   动漫都她妈的一毛一样的剧情啊艹蛋玩意儿   58254054  降灵记
           大家不要说了，画玖根本就没有死，大家可以去看看漫画。。。不小心剧透了，对不起   58254054  降灵记
                 怎么还没出下季啊[流泪][流泪][流泪][流泪][流泪][流泪]   58254054  降灵记
                             辣鸡 诶 我说你怎么想出这么辣鸡的电影呢   58254054  降灵记
                                          呐呐呐！爆料了   58254054  降灵记
大结局剧情好感人呐，看了就虐人的结局[流泪]。\n可怜七爷了...     之后第二季七爷可...   58254054  降灵记
http://m.iqiyi.com/m5/bubble/detail_f253832121...   58254054  降灵记
                                             分享图片   58254054  降灵记
                               剧透你们不是希望沐春阳喜欢上画玖吗？   58254054  降灵记
                                   你们相信吗？这些个还是我画的   58254054  降灵记
                                    她漂亮吗？觉得她漂亮的点赞   58254054  降灵记
丑八怪女主角活该，谁然她斩草不除根，我看你们是喜欢那个丑八怪女主角，死的活该！哈哈哈[阴险]...   58254054  降灵记
